"state","acq_date","cumu_sum","rank","next_val"
"Northern Territory",2019-12-15,13446,3,13483
"Queensland",2019-12-15,11394,4,11972
"New South Wales",2019-12-16,27812,1,28300
"Western Australia",2019-12-16,14163,2,14351
"Northern Territory",2019-12-16,13483,3,13561
"Queensland",2019-12-16,11972,4,12386
"Victoria",2019-12-16,462,5,506
"New South Wales",2019-12-17,28300,1,29334
"Western Australia",2019-12-17,14351,2,14720
"Northern Territory",2019-12-17,13561,3,13633
"Queensland",2019-12-17,12386,4,12889
"Victoria",2019-12-17,506,5,533
"Tasmania",2019-12-17,136,6,140
"New South Wales",2019-12-18,29334,1,30630
"Western Australia",2019-12-18,14720,2,15540
"Northern Territory",2019-12-18,13633,3,13759
"Queensland",2019-12-18,12889,4,13319
"South Australia",2019-12-18,896,5,965
"Victoria",2019-12-18,533,6,598
"New South Wales",2019-12-19,30630,1,31183
"Western Australia",2019-12-19,15540,2,15803
"Northern Territory",2019-12-19,13759,3,13861
"Queensland",2019-12-19,13319,4,13648
"South Australia",2019-12-19,965,5,1218
"Victoria",2019-12-19,598,6,922
"Tasmania",2019-12-19,140,7,194
"New South Wales",2019-12-20,31183,1,32708
"Western Australia",2019-12-20,15803,2,16129
"Northern Territory",2019-12-20,13861,3,13960
"Queensland",2019-12-20,13648,4,13919
"South Australia",2019-12-20,1218,5,1297
"Victoria",2019-12-20,922,6,1017
"New South Wales",2019-12-21,32708,1,32783
"Western Australia",2019-12-21,16129,2,16299
"Northern Territory",2019-12-21,13960,3,14140
"Queensland",2019-12-21,13919,4,14036
"South Australia",2019-12-21,1297,5,1307
"Victoria",2019-12-21,1017,6,1115
"New South Wales",2019-12-22,32783,1,32943
"Western Australia",2019-12-22,16299,2,16403
"Northern Territory",2019-12-22,14140,3,14286
"Queensland",2019-12-22,14036,4,14287
"South Australia",2019-12-22,1307,5,1344
"Victoria",2019-12-22,1115,6,1117
"New South Wales",2019-12-23,32943,1,32960
"Western Australia",2019-12-23,16403,2,16538
"Queensland",2019-12-23,14287,3,14526
"Northern Territory",2019-12-23,14286,4,14617
"South Australia",2019-12-23,1344,5,1370
"Victoria",2019-12-23,1117,6,1146
"New South Wales",2019-12-24,32960,1,33064
"Western Australia",2019-12-24,16538,2,16755
"Northern Territory",2019-12-24,14617,3,14785
"Queensland",2019-12-24,14526,4,14844
"South Australia",2019-12-24,1370,5,1388
"Victoria",2019-12-24,1146,6,1216
"New South Wales",2019-12-25,33064,1,33271
"Western Australia",2019-12-25,16755,2,17042
"Queensland",2019-12-25,14844,3,15059
"Northern Territory",2019-12-25,14785,4,15094
"South Australia",2019-12-25,1388,5,1408
"Victoria",2019-12-25,1216,6,1313
"New South Wales",2019-12-26,33271,1,33643
"Western Australia",2019-12-26,17042,2,17329
"Northern Territory",2019-12-26,15094,3,15209
"Queensland",2019-12-26,15059,4,15141
"South Australia",2019-12-26,1408,5,1438
"Victoria",2019-12-26,1313,6,1351
"New South Wales",2019-12-27,33643,1,34413
"Western Australia",2019-12-27,17329,2,17795
"Northern Territory",2019-12-27,15209,3,15274
"Queensland",2019-12-27,15141,4,15210
"South Australia",2019-12-27,1438,5,1455
"Victoria",2019-12-27,1351,6,1353
"New South Wales",2019-12-28,34413,1,34876
"Western Australia",2019-12-28,17795,2,18972
"Northern Territory",2019-12-28,15274,3,15325
"Queensland",2019-12-28,15210,4,15235
"South Australia",2019-12-28,1455,5,1536
"Victoria",2019-12-28,1353,6,1639
"New South Wales",2019-12-29,34876,1,36993
"Western Australia",2019-12-29,18972,2,19226
"Northern Territory",2019-12-29,15325,3,15438
"Queensland",2019-12-29,15235,4,15335
"Victoria",2019-12-29,1639,5,3828
"South Australia",2019-12-29,1536,6,1858
"New South Wales",2019-12-30,36993,1,38021
"Western Australia",2019-12-30,19226,2,19381
"Northern Territory",2019-12-30,15438,3,15477
"Queensland",2019-12-30,15335,4,15419
"Victoria",2019-12-30,3828,5,4195
"South Australia",2019-12-30,1858,6,1956
"New South Wales",2019-12-31,38021,1,38548
"Western Australia",2019-12-31,19381,2,20000
"Northern Territory",2019-12-31,15477,3,15490
"Queensland",2019-12-31,15419,4,15560
"Victoria",2019-12-31,4195,5,4750
"South Australia",2019-12-31,1956,6,2063
"Tasmania",2019-12-31,194,7,245
"New South Wales",2020-01-01,38548,1,39064
"Western Australia",2020-01-01,20000,2,20919
"Queensland",2020-01-01,15560,3,15712
"Northern Territory",2020-01-01,15490,4,15529
"Victoria",2020-01-01,4750,5,5435
"South Australia",2020-01-01,2063,6,2236
"Tasmania",2020-01-01,245,7,282
"New South Wales",2020-01-02,39064,1,39900
"Western Australia",2020-01-02,20919,2,20944
"Queensland",2020-01-02,15712,3,15821
"Northern Territory",2020-01-02,15529,4,15549
"Victoria",2020-01-02,5435,5,6364
"South Australia",2020-01-02,2236,6,2661
"Tasmania",2020-01-02,282,7,314
"New South Wales",2020-01-03,39900,1,43152
"Western Australia",2020-01-03,20944,2,20993
"Queensland",2020-01-03,15821,3,15896
"Northern Territory",2020-01-03,15549,4,15550
"Victoria",2020-01-03,6364,5,8313
"South Australia",2020-01-03,2661,6,2685
"Tasmania",2020-01-03,314,7,321
"New South Wales",2020-01-04,43152,1,43287
"Western Australia",2020-01-04,20993,2,21114
"Queensland",2020-01-04,15896,3,15980
"Northern Territory",2020-01-04,15550,4,15555
"Victoria",2020-01-04,8313,5,8318
"Tasmania",2020-01-04,321,6,333
"New South Wales",2020-01-05,43287,1,43334
"Western Australia",2020-01-05,21114,2,21431
"Queensland",2020-01-05,15980,3,16027
"Northern Territory",2020-01-05,15555,4,15557
"South Australia",2020-01-05,2685,5,2722
"Tasmania",2020-01-05,333,6,357
"New South Wales",2020-01-06,43334,1,43354
"Western Australia",2020-01-06,21431,2,22120
"Queensland",2020-01-06,16027,3,16036
"South Australia",2020-01-06,2722,4,2772
"Tasmania",2020-01-06,357,5,373
"New South Wales",2020-01-07,43354,1,43425
"Western Australia",2020-01-07,22120,2,22535
"Queensland",2020-01-07,16036,3,16088
"Northern Territory",2020-01-07,15557,4,15558
"Victoria",2020-01-07,8318,5,8370
"South Australia",2020-01-07,2772,6,2800
"New South Wales",2020-01-08,43425,1,43517
"Western Australia",2020-01-08,22535,2,22545
"Queensland",2020-01-08,16088,3,16129
"Northern Territory",2020-01-08,15558,4,25
"Victoria",2020-01-08,8370,5,8457
"South Australia",2020-01-08,2800,6,2876
"New South Wales",2020-01-09,43517,1,43664
"Western Australia",2020-01-09,22545,2,22556
"Queensland",2020-01-09,16129,3,16194
"Victoria",2020-01-09,8457,4,8465
"South Australia",2020-01-09,2876,5,2877
"Tasmania",2020-01-09,373,6,376
"New South Wales",2020-01-10,43664,1,44031
"Western Australia",2020-01-10,22556,2,22595
"Queensland",2020-01-10,16194,3,16265
"Victoria",2020-01-10,8465,4,8606
"South Australia",2020-01-10,2877,5,2882
"New South Wales",2020-01-11,44031,1,51
"Western Australia",2020-01-11,22595,2,4
"Queensland",2020-01-11,16265,3,1
"Victoria",2020-01-11,8606,4,26
"South Australia",2020-01-11,2882,5,1
"Tasmania",2020-01-11,376,6,2
