"","state","acq_date","n","cumsum"
"785","Western Australia",2019-12-07,121,11676
"786","Western Australia",2019-12-08,228,11904
"787","Western Australia",2019-12-09,153,12057
"788","Western Australia",2019-12-10,124,12181
"789","Western Australia",2019-12-11,179,12360
"790","Western Australia",2019-12-12,115,12475
"791","Western Australia",2019-12-13,268,12743
"792","Western Australia",2019-12-14,593,13336
"793","Western Australia",2019-12-15,593,13929
"794","Western Australia",2019-12-16,234,14163
"795","Western Australia",2019-12-17,188,14351
"796","Western Australia",2019-12-18,369,14720
"797","Western Australia",2019-12-19,820,15540
"798","Western Australia",2019-12-20,263,15803
"799","Western Australia",2019-12-21,326,16129
"800","Western Australia",2019-12-22,170,16299
"801","Western Australia",2019-12-23,104,16403
"802","Western Australia",2019-12-24,135,16538
"803","Western Australia",2019-12-25,217,16755
"804","Western Australia",2019-12-26,287,17042
"805","Western Australia",2019-12-27,287,17329
"806","Western Australia",2019-12-28,466,17795
"807","Western Australia",2019-12-29,1177,18972
"808","Western Australia",2019-12-30,254,19226
"809","Western Australia",2019-12-31,155,19381
"810","Western Australia",2020-01-01,619,20000
"811","Western Australia",2020-01-02,919,20919
"812","Western Australia",2020-01-03,25,20944
"813","Western Australia",2020-01-04,49,20993
"814","Western Australia",2020-01-05,121,21114
"815","Western Australia",2020-01-06,317,21431
"816","Western Australia",2020-01-07,689,22120
"817","Western Australia",2020-01-08,415,22535
"818","Western Australia",2020-01-09,10,22545
"819","Western Australia",2020-01-10,11,22556
"820","Western Australia",2020-01-11,39,22595
